place,title,name,age,desc,link,image
collections,High School Teacher,Mathew Miller,,Math teacher at a suburban high school. Guides student senior projects that work with real-world data.,https://docs.google.com/document/d/19pd0LOhjyOJh7GfhUG78AtBPAT9wSUUE3IMkX3vTa0k/edit?usp=sharing,collections-high-school-teacher.png
collections,Library Administrator,Tejaswinin Sona,,"Associate University Librarian for Digital Scholarship and Technology. Executes grant-funded projects to create online collections from digitized archives, books, and maps.",https://docs.google.com/document/d/1ZfR9YbpV1U3L6O7hFmqyUud-F8Br3-WSkyA6p1J95dA/edit?usp=sharing,collections-library-administrator.png
collections,Metadata Analyst,Becky Roberts,,"Metadata librarian at a large research institution. Analyzes and transforms metadata, ensuring it maintains integrity as it is optimized for end user access.",https://docs.google.com/document/d/1htMUyCgjdwHU2TelzGpnBPr-MU0jAT8n93Sg0LjQb28/edit?usp=sharing,collections-metadata-analyst.png
collections,Postdoctorl Researcher,Anna Pernod,,Interdisciplinary Humanities Postdoc. Learning to use text analysis software to study patterns of word use in french poetry for book.,https://docs.google.com/document/d/17nftmf5O0c4aSQ3TGQg3MLW97keW0OdsYOXVcsT2eDw/edit?usp=sharing,collections-post-doctoral-researcher.png
collections,Public Policy Data Analyst,Ed Kishiyama,,Data analyst at a major immingration NGO in San Francisco. Writing grant to create collaborative international data archive.,https://docs.google.com/document/d/1VGAUngQAPjHS4NBOUQ_89sU0eRltBc8AuFjaQrbE39w/edit?usp=sharing,collections-public-policy-data-analyst.png
collections,Repostitory Services Manager,Dustin Bishop,,Works at a large research institution. Promotes best practices for open repository systems that collect research output.,https://docs.google.com/document/d/1Tmw9Ygwex7nED50gcOz4WnahKQYK-K0yHzMcLIF7jmM/edit?usp=sharing,collections-respository-services-manager.png
collections,Software Developer,Javier Hawkins,,"Software developer at a large university. Searching for data resources with a documented license to reuse the data to provide digital humanities assistance.",https://docs.google.com/document/d/1vvOkS6JJ37KDOHUQPqeGJxuS2_WnSHjtt2gSuUFyRuY/edit?usp=sharing,collections-software-developer.png
collections,Undergraduate Student,Julian Santino,,Political science major a minor in music.  Assigned to analyze poverty data from Central America with topic modeling.,https://docs.google.com/document/d/19g6P4VSfCg2xY_qDqOvOW__DPgRolqp1lFtTcxS-OUA/edit?usp=sharing,collections-undergraduate-student.png
collections,Univeristy Archivist,Torsten Melhus,,"College archivist. Exploring new ways to promote use of the college’s collections, but has limited time and resources.",https://docs.google.com/document/d/1pPvNgVoQth_jJQhQpI8FoE2qL-ClKooLiSn2fYDIGsQ/edit?usp=sharing,collections-university-archivist.png
morpc,Savvy Sonja,,,Planner for a mid-sized city government. Analyzes data to find answers to questions and share information with stakeholders.,https://drive.google.com/file/d/0B0VAjJ09KXQ3N1JoMy1jczhUOEFobkFFXzJWd0JyaHNlT1Q4/view?usp=sharing#page=1,morpc-savvy-sonja.jpg
morpc,Manager Marco,,,Administrator for a township. Uses data to share information and understand practical issues.,https://drive.google.com/file/d/0B0VAjJ09KXQ3N1JoMy1jczhUOEFobkFFXzJWd0JyaHNlT1Q4/view?usp=sharing#page=2,morpc-manager-marco.jpg
morpc,Engaged Elaine,,,"Retiree, neighborhood advocate, watershed protection group board member. Seeks to engage in participatory analysis about areas of expertise.",https://drive.google.com/file/d/0B0VAjJ09KXQ3N1JoMy1jczhUOEFobkFFXzJWd0JyaHNlT1Q4/view?usp=sharing#page=3,morpc-engaged-elaine.jpg
morpc,Hopeful Hadiya,,,"Affordable housing nonprofit employee. Wants to understand and communicate housing needs, and demonstrate program impacts. ",https://drive.google.com/file/d/0B0VAjJ09KXQ3N1JoMy1jczhUOEFobkFFXzJWd0JyaHNlT1Q4/view?usp=sharing#page=5,morpc-hopeful-hadiya.jpg
morpc,Decisive Delaney,,,Elected village council member. Looks for accessible data to inform decisions and communicate with residents.,https://drive.google.com/file/d/0B0VAjJ09KXQ3N1JoMy1jczhUOEFobkFFXzJWd0JyaHNlT1Q4/view?usp=sharing#page=4,morpc-decisive-delaney.jpg
morpc,Specialist Samir,,,Project manager for a planning and engineering consulting firm. Needs project-specific data to meet contracted goals and regulatory requirements.,https://drive.google.com/file/d/0B0VAjJ09KXQ3N1JoMy1jczhUOEFobkFFXzJWd0JyaHNlT1Q4/view?usp=sharing#page=6,morpc-specialist-samir.jpg
morpc,Coding Corey,,,Civic tech enthusiast. Wants to make cool solutions to real community problems with any and all data they can get their hands on.,https://drive.google.com/file/d/0B0VAjJ09KXQ3N1JoMy1jczhUOEFobkFFXzJWd0JyaHNlT1Q4/view?usp=sharing#page=7,morpc-coding-corey.jpg
glendale,Real Estate Researcher/Consultant,Jessie,40–50,Real estate consultant. Specializes in appraisal and zoning research and produces reports used by lenders prior to approval of a real estate loan.,https://docs.google.com/document/d/1LXhyFCajB0k6LSCyc-2KLbeownkt3-uR6jdPU6GmEnU/edit,
glendale,Community Developer,David,30–40,Affordable housing developer. wants to make sure that his projects are the best they can be by conducting research.,https://docs.google.com/document/d/1LXhyFCajB0k6LSCyc-2KLbeownkt3-uR6jdPU6GmEnU/edit,
glendale,Affordable Housing Developer,Joe,,"Affordable housing developer looking to access zoning reports, new development permits, new affordable housing contracts, housing demand info.  ",https://docs.google.com/document/d/1LXhyFCajB0k6LSCyc-2KLbeownkt3-uR6jdPU6GmEnU/edit,
glendale,Concerned Residents,Francis,,Civically minded neighborhood volunteer. Has an appetite for information such as property values that will help her make a strong argument.,https://docs.google.com/document/d/1LXhyFCajB0k6LSCyc-2KLbeownkt3-uR6jdPU6GmEnU/edit,
glendale,Journalist,Perry,30–40,"Journalist. Reports on local spending, undue influence on government leaders, and is a regular and expert records requestor.",https://docs.google.com/document/d/1LXhyFCajB0k6LSCyc-2KLbeownkt3-uR6jdPU6GmEnU/edit,
glendale,Journalist,Derek,20–30,"Reporter. Submits public records requests; needs police statistics, analysis of raw response times data; monitors regularly collected info like notices of claim.",https://docs.google.com/document/d/1LXhyFCajB0k6LSCyc-2KLbeownkt3-uR6jdPU6GmEnU/edit,
glendale,Community Lender,Lori,50–60,Executive director of a non-profit financial intermediary supporting community development. Needs neighborhood indicator data from various sources to inform funding priorites.,https://docs.google.com/document/d/1LXhyFCajB0k6LSCyc-2KLbeownkt3-uR6jdPU6GmEnU/edit,
madison,Community Activist,Robert,62,"Neighborhood Association transportation committee member. Wants traffic data to redesign unsafe road, but doesn't know how to access the data.",https://drive.google.com/file/d/1q0-fRiuiWtkzAs_B9OkzfFTta_yVOk1I/view?usp=sharing#page=2,madison-community-activist.png
madison,Large Nonprofit Manager,Anna,47,"Program manager for early childhood development at a large nonprofit. Analyzes impact of county-wide strategy, but struggles with data access and quality.",https://drive.google.com/file/d/1q0-fRiuiWtkzAs_B9OkzfFTta_yVOk1I/view?usp=sharing#page=3,madison-large-nonprofit-manager.png
madison,Small Community-Based Organization Director,Barbara,41,Director of a community-based organization. Needs neighborhood indicators to demonstrate quantitative need and impact of her work.,https://drive.google.com/file/d/1q0-fRiuiWtkzAs_B9OkzfFTta_yVOk1I/view?usp=sharing#page=4,madison-small-cbo-director.png
madison,Connector,Sylvia,39,University of Wisconsin community liaison. Connects community organizations to data owners to find specific data at the neighborhood level.,https://drive.google.com/file/d/1q0-fRiuiWtkzAs_B9OkzfFTta_yVOk1I/view?usp=sharing#page=3,madison-connector.png
madison,Disseminator,Julia,27,"Local marketing start-up. Attends public meetings, collects data, analyzes it, shares it in the public domain, but struggles to find data sources.",https://drive.google.com/file/d/1q0-fRiuiWtkzAs_B9OkzfFTta_yVOk1I/view?usp=sharing#page=4,madison-disseminator.png
madison,City Staffer,Doug,43,Manages City's application for addressing reported issues. Wants to help residents but struggles with bureaucratic impedimetns to quickly sharing data. ,https://drive.google.com/file/d/1q0-fRiuiWtkzAs_B9OkzfFTta_yVOk1I/view?usp=sharing#page=5,madison-city-staffer.png
nyc,Meticulous Mapper,Kent,34,Lead developer at a small civic mapping startup. Creating app to map schools with lowest attendance levels.,https://opendata.cityofnewyork.us/wp-content/uploads/2017/07/Understanding-the-Users-of-Open-Data_Reboot.pdf#page=21,newyork-meticulous-mapper.png
nyc,Local Liason,Roman,38,"Webmaster at nonprofit. Persuading colleagues and community to invest resources in data-driven decision making, and make data available to non-technical residents. ",https://opendata.cityofnewyork.us/wp-content/uploads/2017/07/Understanding-the-Users-of-Open-Data_Reboot.pdf#page=23,newyork-local-liaison.png
nyc,Influential Interpreter,June,28,Eviction-prevention policy associate. Interprets data and define use cases for stakeholders i.e. tenants rights organizations and lawyers.,https://opendata.cityofnewyork.us/wp-content/uploads/2017/07/Understanding-the-Users-of-Open-Data_Reboot.pdf#page=25,newyork-influential-interpreter.png
nyc,Equipped Explorer,Marcus,42,Continuing education tech instructor. Determining use for open data to improve educational opportunity and environmental conservation.,https://opendata.cityofnewyork.us/wp-content/uploads/2017/07/Understanding-the-Users-of-Open-Data_Reboot.pdf#page=27,newyork-equipped-explorer.png
nyc,Busy Bystander,Sarah,22,"College student. Finding ways to apply data insights to family business, and exploring value of open data through class projects.",https://opendata.cityofnewyork.us/wp-content/uploads/2017/07/Understanding-the-Users-of-Open-Data_Reboot.pdf#page=29,newyork-busy-bystander.png
nyc,Community Champion,Alana,36,"Immigrants' rights advocacy lead organizer. Creating fairer policies for immigrants, and collecting newspaper articles, court rulings to use as evidence in court. ",https://opendata.cityofnewyork.us/wp-content/uploads/2017/07/Understanding-the-Users-of-Open-Data_Reboot.pdf#page=31,newyork-community-champion.png
wprdc,City Planner,Remi,30,"Updating regional comprehensive plan, reducing disparities between neighborhoods, and increasing community assets.",https://docs.google.com/presentation/d/1zCpShjwHl8k-NCGCFHwruBd3xew1Wyh1NsIjKL6l3fY/edit#slide=id.p5,pittsburgh-city-planner.png
wprdc,Assistant Hospital Director,Tammy,48,Needs to compile and interpret large amounts of community data – demographics as well as data about health outcomes – currently and over time.,https://docs.google.com/presentation/d/1zCpShjwHl8k-NCGCFHwruBd3xew1Wyh1NsIjKL6l3fY/edit#slide=id.p6,pittsburgh-assistant-to-hospital-director.png
wprdc,Community Organizer (at nonprofit),Barry,46,Helping his community organize and advocate for change. Wants to get into politics.,https://docs.google.com/presentation/d/1zCpShjwHl8k-NCGCFHwruBd3xew1Wyh1NsIjKL6l3fY/edit#slide=id.p7,pittsburgh-community-organizer.png
wprdc,Project Manager of a CDC,Robyn,35,"Helping her neighbors in the Northside, collecting housing stats about the Northside, and building skills to be more marketable.",https://docs.google.com/presentation/d/1zCpShjwHl8k-NCGCFHwruBd3xew1Wyh1NsIjKL6l3fY/edit#slide=id.p8,pittsburgh-project-manager.png
wprdc,"Restaurant Worker, Aspiring Entrepreneur",Can,31,"Wants to start restaurant. Wants to use data to find best location for business venture, a franchise location for hot dog shop.",https://docs.google.com/presentation/d/1zCpShjwHl8k-NCGCFHwruBd3xew1Wyh1NsIjKL6l3fY/edit#slide=id.p9,pittsburgh-restaurant-entrepreneur.png
wprdc,"Understanding Student (Geology, GIS certificate)",Todd,21,Wants to graduate. Needs to do community-related project that uses GIS. Wants to backpack through all National Parks.,https://docs.google.com/presentation/d/1zCpShjwHl8k-NCGCFHwruBd3xew1Wyh1NsIjKL6l3fY/edit#slide=id.p10,pittsburgh-undergrad-student.png
wprdc,"Library Mascot/Librarian, part-time student at Pitt's MLIS program",Andrew Cardnegie,182,"Wants to help patrons find information. Wants to be more relevant in organization, and own more cats.",https://docs.google.com/presentation/d/1zCpShjwHl8k-NCGCFHwruBd3xew1Wyh1NsIjKL6l3fY/edit#slide=id.p11,pittsburgh-librarian.png
wprdc,Sociology faculty,Esmerelda,30–40,"Engaging in community-based participatory research. Incorporating real world data into work, and attempting to get tenure.",https://docs.google.com/presentation/d/1zCpShjwHl8k-NCGCFHwruBd3xew1Wyh1NsIjKL6l3fY/edit#slide=id.p12,pittsburgh-faculty.png
wprdc,Junior program officer at a small community foundation,Melly,40,Building capacity of grantees for program development and evaluation. Learning more about region.,https://docs.google.com/presentation/d/1zCpShjwHl8k-NCGCFHwruBd3xew1Wyh1NsIjKL6l3fY/edit#slide=id.p13,pittsburgh-junior-program-officer.png
losangeles,Civic Technologist,,,"Works in the private sector and might hold a post-baccalaureate degree in engineering, computer science, information technology, or web information technology, or web development.",https://drive.google.com/file/d/1RzN6gN5lxJmKUt3eUN4wgrCAsrgyLD3d/view,none
losangeles,Nonprofit Employee,,,Has a degree that includes data analysis training or has sought professional development opportunities to learn the skills necessary to access open data systems.,https://drive.google.com/file/d/1RzN6gN5lxJmKUt3eUN4wgrCAsrgyLD3d/view,none
losangeles,City Employee,,,"Tends to have a wide range of data skills. More likely to use the Open Data Portal and/or GeoHub, and has technical data training either through an advanced degree or has sought professional development opportunities to learn the skills necessary to access open data systems.",https://drive.google.com/file/d/1RzN6gN5lxJmKUt3eUN4wgrCAsrgyLD3d/view,none
